Rank,City,Country,Population,Drink,,,,,,
60,Singapore,Singapore,"3,547,809",,",","Singapore,",,,,
61,Ankara,Turkey,"3,517,182",,",","Ankara,",,,,
62,Shenyang,China,"3,512,192",,",","Shenyang,",,,,
63,Hồ Chí Minh City,Vietnam,"3,467,331",,",","Hồ Chí Minh City,",,,,
64,Shiyan,China,"3,460,000",,",","Shiyan,",,,,
65,Cape Town,South Africa,"3,433,441",,",","Cape Town,",,,,
66,Berlin,Germany,"3,426,354",,",","Berlin,",,,,
67,Montréal,Canada,"3,268,513",,",","Montréal,",,,,
68,Madrid,Spain,"3,255,944",,",","Madrid,",,,,
69,Harbin,China,"3,229,883",,",","Harbin,",,,,
70,Xi’an,China,"3,225,812",,",","Xi’an,",,,,
71,Pyongyang,North Korea,"3,222,000",,",","Pyongyang,",,,,
72,Lanzhou,China,"3,200,000",,",","Lanzhou,",,,,
73,Guangzhou,China,"3,152,825",,",","Guangzhou,",,,,
74,Casablanca,Morocco,"3,144,909",,",","Casablanca,",,,,
75,Durban,South Africa,"3,120,282",,",","Durban,",,,,
76,Nanjing,China,"3,087,010",,",","Nanjing,",,,,
77,Kabul,Afghanistan,"3,043,532",,",","Kabul,",,,,
78,Shenzhen,China,"3,000,000",,",","Shenzhen,",,,,
79,Caracas,Venezuela,"3,000,000",,",","Caracas,",,,,
80,Pune,India,"2,935,744",,",","Pune,",,,,
81,Sūrat,India,"2,894,504",,",","Sūrat,",,,,
82,Jeddah,Saudi Arabia,"2,867,446",,",","Jeddah,",,,,
83,Kānpur,India,"2,823,249",,",","Kānpur,",,,,
84,Luanda,Angola,"2,776,168",,",","Luanda,",,,,
85,Addis Ababa,Ethiopia,"2,757,729",,",","Addis Ababa,",,,,
86,Nairobi,Kenya,"2,750,547",,",","Nairobi,",,,,
87,Taiyuan,China,"2,722,475",,",","Taiyuan,",,,,
88,Salvador,Brazil,"2,711,840",,",","Salvador,",,,,
89,Jaipur,India,"2,711,758",,",","Jaipur,",,,,
90,Dar es Salaam,Tanzania,"2,698,652",,",","Dar es Salaam,",,,,
91,Chicago,United States,"2,695,598",,",","Chicago,",,,,
92,Incheon,South Korea,"2,628,000",,",","Incheon,",,,,
93,Yunfu,China,"2,612,800",,",","Yunfu,",,,,
94,Al Başrah,Iraq,"2,600,000",,",","Al Başrah,",,,,
95,Ōsaka-shi,Japan,"2,592,413",,",","Ōsaka-shi,",,,,
96,Mogadishu,Somalia,"2,587,183",,",","Mogadishu,",,,,
97,Taegu,South Korea,"2,566,540",,",","Taegu,",,,,
98,Rome,Italy,"2,563,241",,",","Rome,",,,,
99,Changchun,China,"2,537,421",,",","Changchun,",,,,
100,Kiev,Ukraine,"2,514,227",,",","Kiev,",,,,
